"HolderAddress","Balance","PendingBalanceUpdate"
"0x04a542178490a736a6d93b522c39b8114b3458e3","9724566.20675001","No"
"0x081451c90c6a9b71364dbfd473e476ca9ff53767","183869800.084943","No"
"0x0e99b40be8d97877d12ede34e2bf8102b5ced3ac","1034058056.43775","No"
"0x10d6132773c9673f1a2e6049d9a422b3df9886be","34093679.31","No"
"0x1b510473c42defe5bb56bce449cea4babf630f90","810000000","No"
"0x1de2f780d1b5d168baabfb8128da99c9c9c0d87e","1859621546.62073","No"
"0x1e2a1bb33110d7734b535cf40539e840b5d85be5","11486306.7371076","No"
"0x21de376845aaf7840c9023fad1def76af27c99c0","96999.03","No"
"0x28f7defe95270505f65abc43d5e225bf37ec19da","2170577145.33863","No"
"0x2d7dd1800154865029919d28f7220639f7ae265c","3000000000","No"
"0x349ad597ca4033f766f3ae2c870187a0454fd7f3","28380880734.5966","No"
"0x36313896c542b0c829011f7dcb49248d67db6f45","11617479809.9039","No"
"0x3887038c1735a09de3f48eed320b6e5ae0c11e0d","202501486.185168","No"
"0x3c9b1b072668087deed5dedf6a0720aa17257e7e","387500119.704139","No"
"0x3d7c3c464f406f209367cdd31ba15d50746bcfb0","117119439.832605","No"
"0x47c1bacc5b8a5b18c44159d2beb9497da7d29811","1332782520.24848","No"
"0x4a6c4f97edbb5de39ffc169ceaee4affde0cea1b","204399331.835299","No"
"0x4c3dd56b8560bf7a7647e7668182507ed8d21495","2287175.80588577","No"
"0x513744b3de932374dc7b7c41388efe7f271e865d","509985169.748054","No"
"0x51a849bb9a244f9c708608c323032a5937c98ef7","97000","No"
"0x51ed2ce57729af1a3290a238a4039c05ac227c86","45175.191825388","No"
"0x59cd03ea26f943e38828e81235b297da6bfe94da","2091127122.96576","No"
"0x5abb8f89ac9e1444002b86a9aaefe0634117c491","6417836.53069723","No"
"0x60e82cd6297f072580b692ee9d52e7b870912faf","707970345.509286","No"
"0x632245c5acc44de7d6ef5ff092b36b40454e5b9e","540000000","No"
"0x6380cfe2d86bb20be333ab8fadc4c678ee78532d","1939998.06","No"
"0x68b6b4cd15df00249f26255ba0c573832ca8ea56","182265183.591042","No"
"0x74287388fa3f188d0baa78d2129dc55b58bf3f4b","957037888.962524","No"
"0x76086bc81297ab05c7e07cc4c9837516cd8923e4","11654545.3916077","No"
"0x7aff8027c563a4a5f79492ab6e30a1e63d0e0ece","209068831.073173","No"
"0x7b0439a165b6d5d4fb338f7eb5be23936412e05a","62226912.2606953","No"
"0x7eec69bd000d828ee88fb6213fbe8d8a04f42f08","1444784087.11687","No"
"0x84b6ce392ac6d5aef612acf096d8922212171312","4911607463.66572","No"
"0x8941d33b01b808344986d367765d9e13c856abf9","1350000000","No"
"0x8962b23a05cea53c0c3a419352ed30ad02f0f1d2","4698785059.22832","No"
"0x8d8042362d318fef6b7ceb9fdf0e14b7fb5b023a","705569092.874094","No"
"0x9468e6028b61ba8da6db2009e4acff9d45372d09","818896593.717856","No"
"0x95fe6b0e3e2aec91175126fe036de93d6f732d21","2928138262.76974","No"
"0x99fc63dd00cea6a80ba12c85df26d34298092638","385810368.667907","No"
"0x9cebcb3571ea32df9b1de31e187ba65badafcef1","113360804.576794","No"
"0x9f66a7b29c123a1a4461bd1988d0aea0a3bb379b","92677733.5732951","No"
"0xa04dba3304f999a9d9a0171c00e07229c5bf89e8","3000000000","No"
"0xa826cfc4a25154cb0e7bd8a492bb4a7dcb8d4abc","262662401.79489","No"
"0xabb54e7b047d2dea220435930ddc5cfa56a06810","9000000000","No"
"0xae12d437f85215aef327c813dabe16b7cb5f362b","1366415515.66577","No"
"0xbaf496983d5807d6caf370997e35bf0442a5bd86","6075241663.30019","No"
"0xbf7b1c19cf2118f33014713dce31e28c0874257a","320905800.299503","No"
"0xc774e2bad56faa6bbc8c7b2a9e998b9b34bf2f84","305323261.137284","No"
"0xcaedd8005241e18d2557ddb1e4978e06c35669a9","469138904.887652","No"
"0xd5d310b15939b00d9d7b71c555a25e2131f77e80","83166011.8274632","No"
"0xd7141377dbfcfbdf64c1d0d63f5cf6fd0ac19695","11459276.0997771","No"
"0xda3d4b21a463a5940d733cbce4e16f135fe6703c","486690502.030284","No"
"0xe44a70816d4809afb07b30e1bd04cb594e333a1b","2764229.01369961","No"
"0xe5874ff73eca05016ea66520a3fba333f3c64978","126705416.508768","No"
"0xec7a947e3a39069f5bf88498e8b12d8103f48bd4","2910000000","No"
"0xf57bc5bedc06fd4c9ddb3963faa203929f9f67e2","149653836.716336","No"
"0xf6fcfe1e3d0f3a0ddaec496d87a3606deaf9b60c","6207714.61983763","No"
"0xfa817d3bd55ce64047c278d7f432fb2ad4eb7fc1","720412383.242723","No"
"0xfbac57c3cecbcf66512de2eb2aa7de022a79b5ef","202316452.148197","No"
"0xfe8c56db88e991aa78306cb7391b4841f6c22f3f","129725630.57565","No"
